Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
UBER,Uber Technologies Inc.,Technology Services,Other Transportation,Industrials,XLI,7
CAT,Caterpillar Inc.,Producer Manufacturing,Trucks/Construction/Farm Machinery,Industrials,XLI,7
VZ,Verizon Communications Inc.,Communications,Major Telecommunications,Communication Services,XLC,2
TMO,Thermo Fisher Scientific Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
NOW,ServiceNow Inc.,Technology Services,Packaged Software,Technology,XLK,10
BA,The Boeing Company,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
BKNG,Booking Holdings Inc.,Consumer Services,Other Consumer Services,Consumer Discretionary,XLY,3
BLK,BlackRock Inc.,Finance,Investment Managers,Financial,XLF,5
TXN,Texas Instruments Incorporated,Electronic Technology,Semiconductors,Technology,XLK,10
SCHW,The Charles Schwab Corporation,Finance,Investment Banks/Brokers,Financial,XLF,5
C,Citigroup Inc.,Finance,Major Banks,Financial,XLF,5
ISRG,Intuitive Surgical Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
ANET,Arista Networks Inc,Electronic Technology,Telecommunications Equipment,Technology,XLK,10
SPGI,S&P Global Inc.,Commercial Services,Financial Publishing/Services,Financial,XLF,5
QCOM,QUALCOMM Incorporated,Electronic Technology,Semiconductors,Technology,XLK,10
GEV,GE Vernova Inc.,Utilities,Alternative Power Generation,Industrials,XLI,7
AMGN,Amgen Inc.,Health Technology,Biotechnology,Health Care,XLV,6
ACN,Accenture plc,Technology Services,Information Technology Services,Technology,XLK,10
NEE,NextEra Energy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
BSX,Boston Scientific Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
DHR,Danaher Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
ADBE,Adobe Inc.,Technology Services,Packaged Software,Technology,XLK,10
TJX,The TJX Companies Inc.,Retail Trade,Apparel/Footwear Retail,Consumer Discretionary,XLY,3
GILD,Gilead Sciences Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
SYK,Stryker Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
PGR,The Progressive Corporation,Finance,Property/Casualty Insurance,Financial,XLF,5
PFE,Pfizer Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
LOW,Lowe's Companies Inc.,Retail Trade,Home Improvement Chains,Consumer Discretionary,XLY,3
